NOC_2016,NOC_Title_2016,Change_Type,NOC_2021,NOC_Title_2021
0011,Legislators,"VC1 - Code Change, VC2 - Name Change",10,legislators
0012,Senior government managers and officials,"VC1 - Code Change, VC2 - Name Change",11,senior government managers and officials
0013,"Senior managers - financial, communications and other business services","VC1 - Code Change, VC2 - Name Change",12,"senior managers - financial, communications and other business services"
0014,"Senior managers - health, education, social and community services and membership organizations","VC1 - Code Change, VC2 - Name Change",13,"senior managers - health, education, social and community services and membership organizations"
0015,"Senior managers - trade, broadcasting and other services, n.e.c.","VC1 - Code Change, VC2 - Name Change",14,"senior managers - trade, broadcasting and other services"
0016,"Senior managers - construction, transportation, production and utilities","VC1 - Code Change, VC2 - Name Change",15,"senior managers - construction, transportation, production and utilities"
0111,Financial managers,"VC1 - Code Change, VC2 - Name Change",10010,financial managers
0113,Purchasing managers,"VC1 - Code Change, VC2 - Name Change",10012,purchasing managers
0114,Other administrative services managers,"VC1 - Code Change, VC2 - Name Change",10019,other administrative services managers
0121,"Insurance, real estate and financial brokerage managers","VC1 - Code Change, VC2 - Name Change",10020,"insurance, real estate and financial brokerage managers"
0122,"Banking, credit and other investment managers","VC1 - Code Change, VC2 - Name Change",10021,"banking, credit and other investment managers"
0124,"Advertising, marketing and public relations managers","VC1 - Code Change, VC2 - Name Change",10022,"advertising, marketing and public relations managers"
0125,Other business services managers,"VC1 - Code Change, VC2 - Name Change",10029,other business services managers
0131,Telecommunication carriers managers,"VC1 - Code Change, VC2 - Name Change",10030,telecommunication carriers managers
0132,Postal and courier services managers,"VC1 - Code Change, VC2 - Name Change",70021,postal and courier services managers
0211,Engineering managers,"VC1 - Code Change, VC2 - Name Change",20010,engineering managers
0212,Architecture and science managers,"VC1 - Code Change, VC2 - Name Change",20011,architecture and science managers
0213,Computer and information systems managers,"VC1 - Code Change, VC2 - Name Change",20012,computer and information systems managers
0311,Managers in health care,"VC1 - Code Change, VC2 - Name Change",30010,managers in health care
0411,Government managers - health and social policy development and program administration,"VC1 - Code Change, VC2 - Name Change",40010,government managers - health and social policy development and program administration
0412,"Government managers - economic analysis, policy development and program administration","VC1 - Code Change, VC2 - Name Change",40011,"government managers - economic analysis, policy development and program administration"
0413,Government managers - education policy development and program administration,"VC1 - Code Change, VC2 - Name Change",40012,government managers - education policy development and program administration
0414,Other managers in public administration,"VC1 - Code Change, VC2 - Name Change",40019,other managers in public administration
0421,Administrators - post-secondary education and vocational training,"VC1 - Code Change, VC2 - Name Change",40020,administrators - post-secondary education and vocational training
0422,School principals and administrators of elementary and secondary education,"VC1 - Code Change, VC2 - Name Change",40021,school principals and administrators of elementary and secondary education
0423,"Managers in social, community and correctional services","VC1 - Code Change, VC2 - Name Change",40030,"managers in social, community and correctional services"
0432,Fire chiefs and senior firefighting officers,"VC1 - Code Change, VC2 - Name Change",40041,fire chiefs and senior firefighting officers
0511,"Library, archive, museum and art gallery managers","VC1 - Code Change, VC2 - Name Change",50010,"library, archive, museum and art gallery managers"
0512,"Managers - publishing, motion pictures, broadcasting and performing arts","VC1 - Code Change, VC2 - Name Change",50011,"managers - publishing, motion pictures, broadcasting and performing arts"
0513,"Recreation, sports and fitness program and service directors","VC1 - Code Change, VC2 - Name Change",50012,"recreation, sports and fitness program and service directors"
0601,Corporate sales managers,"VC1 - Code Change, VC2 - Name Change",60010,corporate sales managers
0621,Retail and wholesale trade managers,"VC1 - Code Change, VC2 - Name Change",60020,retail and wholesale trade managers
0631,Restaurant and food service managers,"VC1 - Code Change, VC2 - Name Change",60030,restaurant and food service managers
0632,Accommodation service managers,"VC1 - Code Change, VC2 - Name Change",60031,accommodation service managers
0651,"Managers in customer and personal services, n.e.c.","VC1 - Code Change, VC2 - Name Change",60040,managers in customer and personal services
0711,Construction managers,"VC1 - Code Change, VC2 - Name Change",70010,construction managers
0712,Home building and renovation managers,"VC1 - Code Change, VC2 - Name Change",70011,home building and renovation managers
0714,Facility operation and maintenance managers,"VC1 - Code Change, VC2 - Name Change",70012,facility operation and maintenance managers
0731,Managers in transportation,"VC1 - Code Change, VC2 - Name Change",70020,managers in transportation
0811,Managers in natural resources production and fishing,"VC1 - Code Change, VC2 - Name Change",80010,managers in natural resources production and fishing
0821,Managers in agriculture,"VC1 - Code Change, VC2 - Name Change",80020,managers in agriculture
0822,Managers in horticulture,"VC1 - Code Change, VC2 - Name Change",80021,managers in horticulture
0823,Managers in aquaculture,"VC1 - Code Change, VC2 - Name Change",80022,managers in aquaculture
0911,Manufacturing managers,"VC1 - Code Change, VC2 - Name Change",90010,manufacturing managers
0912,Utilities managers,"VC1 - Code Change, VC2 - Name Change",90011,utilities managers
1111,Financial auditors and accountants,"VC1 - Code Change, VC2 - Name Change",11100,financial auditors and accountants
1112,Financial and investment analysts,"VC1 - Code Change, VC2 - Name Change",11101,financial and investment analysts
1113,"Securities agents, investment dealers and brokers","VC1 - Code Change, VC2 - Name Change",11103,"securities agents, investment dealers and brokers"
1121,Human resources professionals,"VC1 - Code Change, VC2 - Name Change",11200,human resources professionals
1122,Professional occupations in business management consulting,"VC1 - Code Change, VC2 - Name Change",11201,professional occupations in business management consulting
1211,"Supervisors, general office and administrative support workers","VC1 - Code Change, VC2 - Name Change",12010,"supervisors, general office and administrative support workers"
1212,"Supervisors, finance and insurance office workers","VC1 - Code Change, VC2 - Name Change",12011,"supervisors, finance and insurance office workers"
1213,"Supervisors, library, correspondence and related information workers","VC1 - Code Change, VC2 - Name Change",12012,"supervisors, library, correspondence and related information workers"
1214,"Supervisors, mail and message distribution occupations","VC1 - Code Change, VC2 - Name Change",72025,"supervisors, mail and message distribution occupations"
1221,Administrative officers,"VC1 - Code Change, VC2 - Name Change",13100,administrative officers
1222,Executive assistants,"VC1 - Code Change, VC2 - Name Change",12100,executive assistants
1223,Human resources and recruitment officers,"VC1 - Code Change, VC2 - Name Change",12101,human resources and recruitment officers
1224,Property administrators,"VC1 - Code Change, VC2 - Name Change",13101,property administrators
1225,Purchasing agents and officers,"VC1 - Code Change, VC2 - Name Change",12102,procurement and purchasing agents and officers
1226,Conference and event planners,"VC1 - Code Change, VC2 - Name Change",12103,conference and event planners
1228,"Employment insurance, immigration, border services and revenue officers","RC4.1 - Breakdown, VC1 - Code Change, VC2 - Name Change",12104,employment insurance and revenue officers
1241,Administrative assistants,"VC1 - Code Change, VC2 - Name Change",13110,administrative assistants
1242,Legal administrative assistants,"VC1 - Code Change, VC2 - Name Change",13111,legal administrative assistants
1243,Medical administrative assistants,"VC1 - Code Change, VC2 - Name Change",13112,medical administrative assistants
1251,"Court reporters, medical transcriptionists and related occupations","VC1 - Code Change, VC2 - Name Change",12110,"court reporters, medical transcriptionists and related occupations"
1252,Health information management occupations,"VC1 - Code Change, VC2 - Name Change",12111,health information management occupations
1254,Statistical officers and related research support occupations,"VC1 - Code Change, VC2 - Name Change",12113,statistical officers and related research support occupations
1311,Accounting technicians and bookkeepers,"VC1 - Code Change, VC2 - Name Change",12200,accounting technicians and bookkeepers
1312,Insurance adjusters and claims examiners,"VC1 - Code Change, VC2 - Name Change",12201,insurance adjusters and claims examiners
1313,Insurance underwriters,"VC1 - Code Change, VC2 - Name Change",12202,insurance underwriters
1314,"Assessors, valuators and appraisers","VC1 - Code Change, VC2 - Name Change",12203,"assessors, business valuators and appraisers"
1315,"Customs, ship and other brokers","VC1 - Code Change, VC2 - Name Change",13200,"customs, ship and other brokers"
1411,General office support workers,"VC1 - Code Change, VC2 - Name Change",14100,general office support workers
1414,Receptionists,"VC1 - Code Change, VC2 - Name Change",14101,receptionists
1415,Personnel clerks,"VC1 - Code Change, VC2 - Name Change",14102,personnel clerks
1416,Court clerks,"RC3.1 - Merger, VC1 - Code Change, VC2 - Name Change",14103,court clerks and related court services occupations
1422,Data entry clerks,"VC1 - Code Change, VC2 - Name Change",14111,data entry clerks
1423,Desktop publishing operators and related occupations,"VC1 - Code Change, VC2 - Name Change",14112,desktop publishing operators and related occupations
1431,Accounting and related clerks,"VC1 - Code Change, VC2 - Name Change",14200,accounting and related clerks
1432,Payroll administrators,"VC1 - Code Change, VC2 - Name Change",13102,payroll administrators
1434,"Banking, insurance and other financial clerks","VC1 - Code Change, VC2 - Name Change",14201,"banking, insurance and other financial clerks"
1435,Collectors,"VC1 - Code Change, VC2 - Name Change",14202,collection clerks
1451,Library assistants and clerks,"VC1 - Code Change, VC2 - Name Change",14300,library assistants and clerks
1452,"Correspondence, publication and regulatory clerks","VC1 - Code Change, VC2 - Name Change",14301,"correspondence, publication and regulatory clerks"
1454,Survey interviewers and statistical clerks,"VC1 - Code Change, VC2 - Name Change",14110,survey interviewers and statistical clerks
1512,Letter carriers,"VC1 - Code Change, VC2 - Name Change",74101,letter carriers
1521,Shippers and receivers,"VC1 - Code Change, VC2 - Name Change",14400,shippers and receivers
1522,Storekeepers and partspersons,"VC1 - Code Change, VC2 - Name Change",14401,storekeepers and partspersons
1523,Production logistics co-ordinators,"RC4.1 - Breakdown, VC1 - Code Change, VC2 - Name Change",13201,production and transportation logistics coordinators
1524,Purchasing and inventory control workers,"VC1 - Code Change, VC2 - Name Change",14403,purchasing and inventory control workers
1526,Transportation route and crew schedulers,"VC1 - Code Change, VC2 - Name Change",14405,transportation route and crew schedulers
2111,Physicists and astronomers,"VC1 - Code Change, VC2 - Name Change",21100,physicists and astronomers
2112,Chemists,"VC1 - Code Change, VC2 - Name Change",21101,chemists
2113,Geoscientists and oceanographers,"VC1 - Code Change, VC2 - Name Change",21102,geoscientists and oceanographers
2114,Meteorologists and climatologists,"VC1 - Code Change, VC2 - Name Change",21103,meteorologists and climatologists
2115,Other professional occupations in physical sciences,"VC1 - Code Change, VC2 - Name Change",21109,other professional occupations in physical sciences
2121,Biologists and related scientists,"VC1 - Code Change, VC2 - Name Change",21110,biologists and related scientists
2122,Forestry professionals,"VC1 - Code Change, VC2 - Name Change",21111,forestry professionals
2123,"Agricultural representatives, consultants and specialists","VC1 - Code Change, VC2 - Name Change",21112,"agricultural representatives, consultants and specialists"
2131,Civil engineers,"VC1 - Code Change, VC2 - Name Change",21300,civil engineers
2132,Mechanical engineers,"VC1 - Code Change, VC2 - Name Change",21301,mechanical engineers
2133,Electrical and electronics engineers,"VC1 - Code Change, VC2 - Name Change",21310,electrical and electronics engineers
2134,Chemical engineers,"VC1 - Code Change, VC2 - Name Change",21320,chemical engineers
2141,Industrial and manufacturing engineers,"VC1 - Code Change, VC2 - Name Change",21321,industrial and manufacturing engineers
2142,Metallurgical and materials engineers,"VC1 - Code Change, VC2 - Name Change",21322,metallurgical and materials engineers
2143,Mining engineers,"VC1 - Code Change, VC2 - Name Change",21330,mining engineers
2144,Geological engineers,"VC1 - Code Change, VC2 - Name Change",21331,geological engineers
2145,Petroleum engineers,"VC1 - Code Change, VC2 - Name Change",21332,petroleum engineers
2146,Aerospace engineers,"VC1 - Code Change, VC2 - Name Change",21390,aerospace engineers
2147,Computer engineers (except software engineers and designers),"VC1 - Code Change, VC2 - Name Change",21311,computer engineers (except software engineers and designers)
2148,"Other professional engineers, n.e.c.","VC1 - Code Change, VC2 - Name Change",21399,other professional engineers
2151,Architects,"VC1 - Code Change, VC2 - Name Change",21200,architects
2152,Landscape architects,"VC1 - Code Change, VC2 - Name Change",21201,landscape architects
2153,Urban and land use planners,"VC1 - Code Change, VC2 - Name Change",21202,urban and land use planners
2154,Land surveyors,"VC1 - Code Change, VC2 - Name Change",21203,land surveyors
2161,"Mathematicians, statisticians and actuaries","VC1 - Code Change, VC2 - Name Change",21210,"mathematicians, statisticians and actuaries"
2174,Computer programmers and interactive media developers,"RC4.1 - Breakdown, VC1 - Code Change, VC2 - Name Change",21230,computer systems developers and programmers
2175,Web designers and developers,"RC4.1 - Breakdown, VC1 - Code Change, VC2 - Name Change",21233,web designers
2211,Chemical technologists and technicians,"VC1 - Code Change, VC2 - Name Change",22100,chemical technologists and technicians
2212,Geological and mineral technologists and technicians,"VC1 - Code Change, VC2 - Name Change",22101,geological and mineral technologists and technicians
2221,Biological technologists and technicians,"VC1 - Code Change, VC2 - Name Change",22110,biological technologists and technicians
2222,Agricultural and fish products inspectors,"VC1 - Code Change, VC2 - Name Change",22111,agricultural and fish products inspectors
2223,Forestry technologists and technicians,"VC1 - Code Change, VC2 - Name Change",22112,forestry technologists and technicians
2224,Conservation and fishery officers,"VC1 - Code Change, VC2 - Name Change",22113,conservation and fishery officers
2225,Landscape and horticulture technicians and specialists,"VC1 - Code Change, VC2 - Name Change",22114,landscape and horticulture technicians and specialists
2231,Civil engineering technologists and technicians,"VC1 - Code Change, VC2 - Name Change",22300,civil engineering technologists and technicians
2232,Mechanical engineering technologists and technicians,"VC1 - Code Change, VC2 - Name Change",22301,mechanical engineering technologists and technicians
2233,Industrial engineering and manufacturing technologists and technicians,"VC1 - Code Change, VC2 - Name Change",22302,industrial engineering and manufacturing technologists and technicians
2234,Construction estimators,"VC1 - Code Change, VC2 - Name Change",22303,construction estimators
2241,Electrical and electronics engineering technologists and technicians,"VC1 - Code Change, VC2 - Name Change",22310,electrical and electronics engineering technologists and technicians
2242,Electronic service technicians (household and business equipment),"VC1 - Code Change, VC2 - Name Change",22311,electronic service technicians (household and business equipment)
2243,Industrial instrument technicians and mechanics,"VC1 - Code Change, VC2 - Name Change",22312,industrial instrument technicians and mechanics
2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","VC1 - Code Change, VC2 - Name Change",22313,"aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
2251,Architectural technologists and technicians,"VC1 - Code Change, VC2 - Name Change",22210,architectural technologists and technicians
2252,Industrial designers,"VC1 - Code Change, VC2 - Name Change",22211,industrial designers
2253,Drafting technologists and technicians,"VC1 - Code Change, VC2 - Name Change",22212,drafting technologists and technicians
2254,Land survey technologists and technicians,"VC1 - Code Change, VC2 - Name Change",22213,land survey technologists and technicians
2255,Technical occupations in geomatics and meteorology,"VC1 - Code Change, VC2 - Name Change",22214,technical occupations in geomatics and meteorology
2261,Non-destructive testers and inspection technicians,"VC1 - Code Change, VC2 - Name Change",22230,non-destructive testers and inspectors
2262,Engineering inspectors and regulatory officers,"VC1 - Code Change, VC2 - Name Change",22231,engineering inspectors and regulatory officers
2263,Inspectors in public and environmental health and occupational health and safety,"RC4.1 - Breakdown, VC1 - Code Change, VC2 - Name Change",21120,public and environmental health and safety professionals
2264,Construction inspectors,"VC1 - Code Change, VC2 - Name Change",22233,construction inspectors
2271,"Air pilots, flight engineers and flying instructors","VC1 - Code Change, VC2 - Name Change",72600,"air pilots, flight engineers and flying instructors"
2272,Air traffic controllers and related occupations,"VC1 - Code Change, VC2 - Name Change",72601,air traffic controllers and related occupations
2273,"Deck officers, water transport","VC1 - Code Change, VC2 - Name Change",72602,"deck officers, water transport"
2274,"Engineer officers, water transport","VC1 - Code Change, VC2 - Name Change",72603,"engineer officers, water transport"
2275,Railway traffic controllers and marine traffic regulators,"VC1 - Code Change, VC2 - Name Change",72604,railway traffic controllers and marine traffic regulators
2281,Computer network technicians,"VC1 - Code Change, VC2 - Name Change",22220,computer network and web technicians
2282,User support technicians,"VC1 - Code Change, VC2 - Name Change",22221,user support technicians
2283,Information systems testing technicians,"VC1 - Code Change, VC2 - Name Change",22222,information systems testing technicians
3011,Nursing co-ordinators and supervisors,"VC1 - Code Change, VC2 - Name Change",31300,nursing coordinators and supervisors
3012,Registered nurses and registered psychiatric nurses,"VC1 - Code Change, VC2 - Name Change",31301,registered nurses and registered psychiatric nurses
3111,Specialist physicians,"RC4.1 - Breakdown, VC1 - Code Change, VC2 - Name Change",31100,specialists in clinical and laboratory medicine
3112,General practitioners and family physicians,"VC1 - Code Change, VC2 - Name Change",31102,general practitioners and family physicians
3113,Dentists,"VC1 - Code Change, VC2 - Name Change",31110,dentists
3114,Veterinarians,"VC1 - Code Change, VC2 - Name Change",31103,veterinarians
3121,Optometrists,"VC1 - Code Change, VC2 - Name Change",31111,optometrists
3122,Chiropractors,"VC1 - Code Change, VC2 - Name Change",31201,chiropractors
3131,Pharmacists,"VC1 - Code Change, VC2 - Name Change",31120,pharmacists
3132,Dietitians and nutritionists,"VC1 - Code Change, VC2 - Name Change",31121,dietitians and nutritionists
3141,Audiologists and speech-language pathologists,"VC1 - Code Change, VC2 - Name Change",31112,audiologists and speech-language pathologists
3143,Occupational therapists,"VC1 - Code Change, VC2 - Name Change",31203,occupational therapists
3211,Medical laboratory technologists,"VC1 - Code Change, VC2 - Name Change",32120,medical laboratory technologists
3213,Animal health technologists and veterinary technicians,"VC1 - Code Change, VC2 - Name Change",32104,animal health technologists and veterinary technicians
3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","VC1 - Code Change, VC2 - Name Change",32103,"respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
3215,Medical radiation technologists,"VC1 - Code Change, VC2 - Name Change",32121,medical radiation technologists
3216,Medical sonographers,"VC1 - Code Change, VC2 - Name Change",32122,medical sonographers
3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.","VC1 - Code Change, VC2 - Name Change",32123,cardiology technologists and electrophysiological diagnostic technologists
3221,Denturists,"VC1 - Code Change, VC2 - Name Change",32110,denturists
3222,Dental hygienists and dental therapists,"VC1 - Code Change, VC2 - Name Change",32111,dental hygienists and dental therapists
3231,Opticians,"VC1 - Code Change, VC2 - Name Change",32100,opticians
3233,Licensed practical nurses,"VC1 - Code Change, VC2 - Name Change",32101,licensed practical nurses
3234,Paramedical occupations,"VC1 - Code Change, VC2 - Name Change",32102,paramedical occupations
3236,Massage therapists,"VC1 - Code Change, VC2 - Name Change",32201,massage therapists
3411,Dental assistants,"VC1 - Code Change, VC2 - Name Change",33100,dental assistants and dental laboratory assistants
3413,"Nurse aides, orderlies and patient service associates","VC1 - Code Change, VC2 - Name Change",33102,"nurse aides, orderlies and patient service associates"
4011,University professors and lecturers,"VC1 - Code Change, VC2 - Name Change",41200,university professors and lecturers
4012,Post-secondary teaching and research assistants,"VC1 - Code Change, VC2 - Name Change",41201,post-secondary teaching and research assistants
4021,College and other vocational instructors,"VC1 - Code Change, VC2 - Name Change",41210,college and other vocational instructors
4031,Secondary school teachers,"VC1 - Code Change, VC2 - Name Change",41220,secondary school teachers
4032,Elementary school and kindergarten teachers,"VC1 - Code Change, VC2 - Name Change",41221,elementary school and kindergarten teachers
4033,Educational counsellors,"VC1 - Code Change, VC2 - Name Change",41320,educational counsellors
4111,Judges,"VC1 - Code Change, VC2 - Name Change",41100,judges
4112,Lawyers and Quebec notaries,"VC1 - Code Change, VC2 - Name Change",41101,lawyers and quebec notaries
4152,Social workers,"VC1 - Code Change, VC2 - Name Change",41300,social workers
4154,Professional occupations in religion,"VC1 - Code Change, VC2 - Name Change",41302,religious leaders
4156,Employment counsellors,"VC1 - Code Change, VC2 - Name Change",41321,career development practitioners and career counsellors (except education)
4161,"Natural and applied science policy researchers, consultants and program officers","VC1 - Code Change, VC2 - Name Change",41400,"natural and applied science policy researchers, consultants and program officers"
4162,Economists and economic policy researchers and analysts,"VC1 - Code Change, VC2 - Name Change",41401,economists and economic policy researchers and analysts
4164,"Social policy researchers, consultants and program officers","VC1 - Code Change, VC2 - Name Change",41403,"social policy researchers, consultants and program officers"
4166,"Education policy researchers, consultants and program officers","VC1 - Code Change, VC2 - Name Change",41405,"education policy researchers, consultants and program officers"
4167,"Recreation, sports and fitness policy researchers, consultants and program officers","VC1 - Code Change, VC2 - Name Change",41406,"recreation, sports and fitness policy researchers, consultants and program officers"
4168,Program officers unique to government,"VC1 - Code Change, VC2 - Name Change",41407,program officers unique to government
4169,"Other professional occupations in social science, n.e.c.","VC1 - Code Change, VC2 - Name Change",41409,other professional occupations in social science
4211,Paralegal and related occupations,"VC1 - Code Change, VC2 - Name Change",42200,paralegals and related occupations
4212,Social and community service workers,"VC1 - Code Change, VC2 - Name Change",42201,social and community service workers
4214,Early childhood educators and assistants,"VC1 - Code Change, VC2 - Name Change",42202,early childhood educators and assistants
4215,Instructors of persons with disabilities,"VC1 - Code Change, VC2 - Name Change",42203,instructors of persons with disabilities
4216,Other instructors,"VC1 - Code Change, VC2 - Name Change",43109,other instructors
4217,Other religious occupations,"VC1 - Code Change, VC2 - Name Change",42204,religion workers
4312,Firefighters,"VC1 - Code Change, VC2 - Name Change",42101,firefighters
4411,Home child care providers,"VC1 - Code Change, VC2 - Name Change",44100,home child care providers
4421,Sheriffs and bailiffs,"VC1 - Code Change, VC2 - Name Change",43200,sheriffs and bailiffs
4422,Correctional service officers,"VC1 - Code Change, VC2 - Name Change",43201,correctional service officers
4423,"By-law enforcement and other regulatory officers, n.e.c.","VC1 - Code Change, VC2 - Name Change",43202,by-law enforcement and other regulatory officers
5111,Librarians,"VC1 - Code Change, VC2 - Name Change",51100,librarians
5112,Conservators and curators,"VC1 - Code Change, VC2 - Name Change",51101,conservators and curators
5113,Archivists,"VC1 - Code Change, VC2 - Name Change",51102,archivists
5122,Editors,"VC1 - Code Change, VC2 - Name Change",51110,editors
5123,Journalists,"VC1 - Code Change, VC2 - Name Change",51113,journalists
5125,"Translators, terminologists and interpreters","VC1 - Code Change, VC2 - Name Change",51114,"translators, terminologists and interpreters"
5131,"Producers, directors, choreographers and related occupations","VC1 - Code Change, VC2 - Name Change",51120,"producers, directors, choreographers and related occupations"
5132,"Conductors, composers and arrangers","VC1 - Code Change, VC2 - Name Change",51121,"conductors, composers and arrangers"
5133,Musicians and singers,"VC1 - Code Change, VC2 - Name Change",51122,musicians and singers
5134,Dancers,"VC1 - Code Change, VC2 - Name Change",53120,dancers
5135,Actors and comedians,"VC1 - Code Change, VC2 - Name Change",53121,"actors, comedians and circus performers"
5136,"Painters, sculptors and other visual artists","VC1 - Code Change, VC2 - Name Change",53122,"painters, sculptors and other visual artists"
5211,Library and public archive technicians,"VC1 - Code Change, VC2 - Name Change",52100,library and public archive technicians
5212,Technical occupations related to museums and art galleries,"VC1 - Code Change, VC2 - Name Change",53100,"registrars, restorers, interpreters and other occupations related to museum and art galleries"
5221,Photographers,"VC1 - Code Change, VC2 - Name Change",53110,photographers
5222,Film and video camera operators,"VC1 - Code Change, VC2 - Name Change",52110,film and video camera operators
5223,Graphic arts technicians,"VC1 - Code Change, VC2 - Name Change",52111,graphic arts technicians
5224,Broadcast technicians,"VC1 - Code Change, VC2 - Name Change",52112,broadcast technicians
5225,Audio and video recording technicians,"VC1 - Code Change, VC2 - Name Change",52113,audio and video recording technicians
5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts","VC1 - Code Change, VC2 - Name Change",52119,"other technical and coordinating occupations in motion pictures, broadcasting and the performing arts"
5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts","VC1 - Code Change, VC2 - Name Change",53111,"motion pictures, broadcasting, photography and performing arts assistants and operators"
5231,Announcers and other broadcasters,"VC1 - Code Change, VC2 - Name Change",52114,announcers and other broadcasters
5241,Graphic designers and illustrators,"VC1 - Code Change, VC2 - Name Change",52120,graphic designers and illustrators
5242,Interior designers and interior decorators,"VC1 - Code Change, VC2 - Name Change",52121,interior designers and interior decorators
5244,Artisans and craftspersons,"VC1 - Code Change, VC2 - Name Change",53124,artisans and craftspersons
5245,"Patternmakers - textile, leather and fur products","VC1 - Code Change, VC2 - Name Change",53125,"patternmakers - textile, leather and fur products"
5251,Athletes,"VC1 - Code Change, VC2 - Name Change",53200,athletes
5252,Coaches,"VC1 - Code Change, VC2 - Name Change",53201,coaches
5253,Sports officials and referees,"VC1 - Code Change, VC2 - Name Change",53202,sports officials and referees
5254,"Program leaders and instructors in recreation, sport and fitness","VC1 - Code Change, VC2 - Name Change",54100,"program leaders and instructors in recreation, sport and fitness"
6211,Retail sales supervisors,"VC1 - Code Change, VC2 - Name Change",62010,retail sales supervisors
6222,Retail and wholesale buyers,"VC1 - Code Change, VC2 - Name Change",62101,retail and wholesale buyers
6231,Insurance agents and brokers,"VC1 - Code Change, VC2 - Name Change",63100,insurance agents and brokers
6232,Real estate agents and salespersons,"VC1 - Code Change, VC2 - Name Change",63101,real estate agents and salespersons
6235,Financial sales representatives,"VC1 - Code Change, VC2 - Name Change",63102,financial sales representatives
6311,Food service supervisors,"VC1 - Code Change, VC2 - Name Change",62020,food service supervisors
6312,Executive housekeepers,"VC1 - Code Change, VC2 - Name Change",62021,executive housekeepers
6313,"Accommodation, travel, tourism and related services supervisors","VC1 - Code Change, VC2 - Name Change",62022,"accommodation, travel, tourism and related services supervisors"
6314,Customer and information services supervisors,"VC1 - Code Change, VC2 - Name Change",62023,customer and information services supervisors
6315,Cleaning supervisors,"VC1 - Code Change, VC2 - Name Change",62024,cleaning supervisors
6321,Chefs,"VC1 - Code Change, VC2 - Name Change",62200,chefs
6322,Cooks,"VC1 - Code Change, VC2 - Name Change",63200,cooks
6331,"Butchers, meat cutters and fishmongers - retail and wholesale","RC4.1 - Breakdown, VC1 - Code Change, VC2 - Name Change",63201,butchers - retail and wholesale
6332,Bakers,"VC1 - Code Change, VC2 - Name Change",63202,bakers
6341,Hairstylists and barbers,"VC1 - Code Change, VC2 - Name Change",63210,hairstylists and barbers
6342,"Tailors, dressmakers, furriers and milliners","VC1 - Code Change, VC2 - Name Change",64200,"tailors, dressmakers, furriers and milliners"
6343,Shoe repairers and shoemakers,"VC1 - Code Change, VC2 - Name Change",63220,shoe repairers and shoemakers
6344,"Jewellers, jewellery and watch repairers and related occupations","VC1 - Code Change, VC2 - Name Change",62202,"jewellers, jewellery and watch repairers and related occupations"
6345,Upholsterers,"VC1 - Code Change, VC2 - Name Change",63221,upholsterers
