NOC_2016,NOC_Title_2016,Change_Type,NOC_2021,NOC_Title_2021
6346,Funeral directors and embalmers,"VC1 - Code Change, VC2 - Name Change",62201,funeral directors and embalmers
6421,Retail salespersons,"VC1 - Code Change, VC2 - Name Change",64100,retail salespersons and visual merchandisers
6511,Maîtres d'hôtel and hosts/hostesses,"VC1 - Code Change, VC2 - Name Change",64300,maîtres d'hôtel and hosts/hostesses
6512,Bartenders,"VC1 - Code Change, VC2 - Name Change",64301,bartenders
6513,Food and beverage servers,"VC1 - Code Change, VC2 - Name Change",65200,food and beverage servers
6521,Travel counsellors,"VC1 - Code Change, VC2 - Name Change",64310,travel counsellors
6522,Pursers and flight attendants,"VC1 - Code Change, VC2 - Name Change",64311,pursers and flight attendants
6523,Airline ticket and service agents,"VC1 - Code Change, VC2 - Name Change",64312,airline ticket and service agents
6524,"Ground and water transport ticket agents, cargo service representatives and related clerks","VC1 - Code Change, VC2 - Name Change",64313,"ground and water transport ticket agents, cargo service representatives and related clerks"
6525,Hotel front desk clerks,"VC1 - Code Change, VC2 - Name Change",64314,hotel front desk clerks
6531,Tour and travel guides,"VC1 - Code Change, VC2 - Name Change",64320,tour and travel guides
6532,Outdoor sport and recreational guides,"VC1 - Code Change, VC2 - Name Change",64322,outdoor sport and recreational guides
6533,Casino occupations,"VC1 - Code Change, VC2 - Name Change",64321,casino workers
6551,Customer services representatives - financial institutions,"VC1 - Code Change, VC2 - Name Change",64400,customer services representatives - financial institutions
6552,Other customer and information services representatives,"VC1 - Code Change, VC2 - Name Change",64409,other customer and information services representatives
6561,"Image, social and other personal consultants","VC1 - Code Change, VC2 - Name Change",64201,"image, social and other personal consultants"
6562,"Estheticians, electrologists and related occupations","VC1 - Code Change, VC2 - Name Change",63211,"estheticians, electrologists and related occupations"
6563,Pet groomers and animal care workers,"VC1 - Code Change, VC2 - Name Change",65220,pet groomers and animal care workers
6564,Other personal service occupations,"VC1 - Code Change, VC2 - Name Change",65229,other support occupations in personal services
6611,Cashiers,"VC1 - Code Change, VC2 - Name Change",65100,cashiers
6621,Service station attendants,"VC1 - Code Change, VC2 - Name Change",65101,service station attendants
6622,"Store shelf stockers, clerks and order fillers","VC1 - Code Change, VC2 - Name Change",65102,"store shelf stockers, clerks and order fillers"
6623,Other sales related occupations,"VC1 - Code Change, VC2 - Name Change",65109,other sales related occupations
6711,"Food counter attendants, kitchen helpers and related support occupations","VC1 - Code Change, VC2 - Name Change",65201,"food counter attendants, kitchen helpers and related support occupations"
6721,"Support occupations in accommodation, travel and facilities set-up services","VC1 - Code Change, VC2 - Name Change",65210,"support occupations in accommodation, travel and facilities set-up services"
6722,"Operators and attendants in amusement, recreation and sport","VC1 - Code Change, VC2 - Name Change",65211,"operators and attendants in amusement, recreation and sport"
6731,Light duty cleaners,"VC1 - Code Change, VC2 - Name Change",65310,light duty cleaners
6732,Specialized cleaners,"VC1 - Code Change, VC2 - Name Change",65311,specialized cleaners
6733,"Janitors, caretakers and building superintendents","RC4.1 - Breakdown, VC1 - Code Change, VC2 - Name Change",65312,"janitors, caretakers and heavy-duty cleaners"
6741,"Dry cleaning, laundry and related occupations","VC1 - Code Change, VC2 - Name Change",65320,"dry cleaning, laundry and related occupations"
6742,"Other service support occupations, n.e.c.","VC1 - Code Change, VC2 - Name Change",65329,other service support occupations
7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","VC1 - Code Change, VC2 - Name Change",72010,"contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
7202,"Contractors and supervisors, electrical trades and telecommunications occupations","VC1 - Code Change, VC2 - Name Change",72011,"contractors and supervisors, electrical trades and telecommunications occupations"
7203,"Contractors and supervisors, pipefitting trades","VC1 - Code Change, VC2 - Name Change",72012,"contractors and supervisors, pipefitting trades"
7204,"Contractors and supervisors, carpentry trades","VC1 - Code Change, VC2 - Name Change",72013,"contractors and supervisors, carpentry trades"
7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers","VC1 - Code Change, VC2 - Name Change",72014,"contractors and supervisors, other construction trades, installers, repairers and servicers"
7231,Machinists and machining and tooling inspectors,"VC1 - Code Change, VC2 - Name Change",72100,machinists and machining and tooling inspectors
7232,Tool and die makers,"VC1 - Code Change, VC2 - Name Change",72101,tool and die makers
7233,Sheet metal workers,"VC1 - Code Change, VC2 - Name Change",72102,sheet metal workers
7234,Boilermakers,"VC1 - Code Change, VC2 - Name Change",72103,boilermakers
7235,Structural metal and platework fabricators and fitters,"VC1 - Code Change, VC2 - Name Change",72104,structural metal and platework fabricators and fitters
7236,Ironworkers,"VC1 - Code Change, VC2 - Name Change",72105,ironworkers
7237,Welders and related machine operators,"VC1 - Code Change, VC2 - Name Change",72106,welders and related machine operators
7241,Electricians (except industrial and power system),"VC1 - Code Change, VC2 - Name Change",72200,electricians (except industrial and power system)
7242,Industrial electricians,"VC1 - Code Change, VC2 - Name Change",72201,industrial electricians
7243,Power system electricians,"VC1 - Code Change, VC2 - Name Change",72202,power system electricians
7244,Electrical power line and cable workers,"VC1 - Code Change, VC2 - Name Change",72203,electrical power line and cable workers
7245,Telecommunications line and cable workers,"RC3.2 - Take-over, VC1 - Code Change, VC2 - Name Change",72204,telecommunications line and cable installers and repairers
7246,Telecommunications installation and repair workers,"RC3.2 - Take-over, VC1 - Code Change, VC2 - Name Change",72205,telecommunications equipment installation and cable television service technicians
7247,Cable television service and maintenance technicians,"RC3.2 - Take-over, VC1 - Code Change, VC2 - Name Change",72204,telecommunications line and cable installers and repairers
7251,Plumbers,"VC1 - Code Change, VC2 - Name Change",72300,plumbers
7252,"Steamfitters, pipefitters and sprinkler system installers","VC1 - Code Change, VC2 - Name Change",72301,"steamfitters, pipefitters and sprinkler system installers"
7253,Gas fitters,"VC1 - Code Change, VC2 - Name Change",72302,gas fitters
7271,Carpenters,"VC1 - Code Change, VC2 - Name Change",72310,carpenters
7272,Cabinetmakers,"VC1 - Code Change, VC2 - Name Change",72311,cabinetmakers
7281,Bricklayers,"VC1 - Code Change, VC2 - Name Change",72320,bricklayers
7282,Concrete finishers,"VC1 - Code Change, VC2 - Name Change",73100,concrete finishers
7283,Tilesetters,"VC1 - Code Change, VC2 - Name Change",73101,tilesetters
7284,"Plasterers, drywall installers and finishers and lathers","VC1 - Code Change, VC2 - Name Change",73102,"plasterers, drywall installers and finishers and lathers"
7291,Roofers and shinglers,"VC1 - Code Change, VC2 - Name Change",73110,roofers and shinglers
7292,Glaziers,"VC1 - Code Change, VC2 - Name Change",73111,glaziers
7293,Insulators,"VC1 - Code Change, VC2 - Name Change",72321,insulators
7294,Painters and decorators (except interior decorators),"VC1 - Code Change, VC2 - Name Change",73112,painters and decorators (except interior decorators)
7295,Floor covering installers,"VC1 - Code Change, VC2 - Name Change",73113,floor covering installers
7301,"Contractors and supervisors, mechanic trades","VC1 - Code Change, VC2 - Name Change",72020,"contractors and supervisors, mechanic trades"
7302,"Contractors and supervisors, heavy equipment operator crews","VC1 - Code Change, VC2 - Name Change",72021,"contractors and supervisors, heavy equipment operator crews"
7303,"Supervisors, printing and related occupations","VC1 - Code Change, VC2 - Name Change",72022,"supervisors, printing and related occupations"
7304,"Supervisors, railway transport operations","VC1 - Code Change, VC2 - Name Change",72023,"supervisors, railway transport operations"
7305,"Supervisors, motor transport and other ground transit operators","VC1 - Code Change, VC2 - Name Change",72024,"supervisors, motor transport and other ground transit operators"
7311,Construction millwrights and industrial mechanics,"VC1 - Code Change, VC2 - Name Change",72400,construction millwrights and industrial mechanics
7312,Heavy-duty equipment mechanics,"VC1 - Code Change, VC2 - Name Change",72401,heavy-duty equipment mechanics
7313,"Heating, refrigeration and air conditioning mechanics","VC1 - Code Change, VC2 - Name Change",72402,"heating, refrigeration and air conditioning mechanics"
7314,Railway carmen/women,"VC1 - Code Change, VC2 - Name Change",72403,railway carmen/women
7315,Aircraft mechanics and aircraft inspectors,"VC1 - Code Change, VC2 - Name Change",72404,aircraft mechanics and aircraft inspectors
7316,Machine fitters,"VC1 - Code Change, VC2 - Name Change",72405,machine fitters
7318,Elevator constructors and mechanics,"VC1 - Code Change, VC2 - Name Change",72406,elevator constructors and mechanics
7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers","VC1 - Code Change, VC2 - Name Change",72410,"automotive service technicians, truck and bus mechanics and mechanical repairers"
7322,Motor vehicle body repairers,"VC1 - Code Change, VC2 - Name Change",72411,"auto body collision, refinishing and glass technicians and damage repair estimators"
7331,Oil and solid fuel heating mechanics,"VC1 - Code Change, VC2 - Name Change",72420,oil and solid fuel heating mechanics
7332,Appliance servicers and repairers,"VC1 - Code Change, VC2 - Name Change",72421,appliance servicers and repairers
7333,Electrical mechanics,"VC1 - Code Change, VC2 - Name Change",72422,electrical mechanics
7334,"Motorcycle, all-terrain vehicle and other related mechanics","VC1 - Code Change, VC2 - Name Change",72423,"motorcycle, all-terrain vehicle and other related mechanics"
7335,Other small engine and small equipment repairers,"VC1 - Code Change, VC2 - Name Change",72429,other small engine and small equipment repairers
7361,Railway and yard locomotive engineers,"VC1 - Code Change, VC2 - Name Change",73310,railway and yard locomotive engineers
7362,Railway conductors and brakemen/women,"VC1 - Code Change, VC2 - Name Change",73311,railway conductors and brakemen/women
7372,"Drillers and blasters - surface mining, quarrying and construction","VC1 - Code Change, VC2 - Name Change",73402,"drillers and blasters - surface mining, quarrying and construction"
7373,Water well drillers,"VC1 - Code Change, VC2 - Name Change",72501,water well drillers
7381,Printing press operators,"VC1 - Code Change, VC2 - Name Change",73401,printing press operators
7441,Residential and commercial installers and servicers,"VC1 - Code Change, VC2 - Name Change",73200,residential and commercial installers and servicers
7442,Waterworks and gas maintenance workers,"VC1 - Code Change, VC2 - Name Change",74204,utility maintenance workers
7444,Pest controllers and fumigators,"VC1 - Code Change, VC2 - Name Change",73202,pest controllers and fumigators
7451,Longshore workers,"VC1 - Code Change, VC2 - Name Change",75100,longshore workers
7452,Material handlers,"VC1 - Code Change, VC2 - Name Change",75101,material handlers
7511,Transport truck drivers,"VC1 - Code Change, VC2 - Name Change",73300,transport truck drivers
7512,"Bus drivers, subway operators and other transit operators","VC1 - Code Change, VC2 - Name Change",73301,"bus drivers, subway operators and other transit operators"
7513,Taxi and limousine drivers and chauffeurs,"VC1 - Code Change, VC2 - Name Change",75200,taxi and limousine drivers and chauffeurs
7521,Heavy equipment operators (except crane),"VC1 - Code Change, VC2 - Name Change",73400,heavy equipment operators
7531,Railway yard and track maintenance workers,"VC1 - Code Change, VC2 - Name Change",74200,railway yard and track maintenance workers
7532,Water transport deck and engine room crew,"VC1 - Code Change, VC2 - Name Change",74201,water transport deck and engine room crew
7533,Boat and cable ferry operators and related occupations,"VC1 - Code Change, VC2 - Name Change",75210,boat and cable ferry operators and related occupations
7534,Air transport ramp attendants,"VC1 - Code Change, VC2 - Name Change",74202,air transport ramp attendants
7535,Other automotive mechanical installers and servicers,"VC1 - Code Change, VC2 - Name Change",74203,automotive and heavy truck and equipment parts installers and servicers
7611,Construction trades helpers and labourers,"VC1 - Code Change, VC2 - Name Change",75110,construction trades helpers and labourers
7612,Other trades helpers and labourers,"VC1 - Code Change, VC2 - Name Change",75119,other trades helpers and labourers
7621,Public works and maintenance labourers,"VC1 - Code Change, VC2 - Name Change",75212,public works and maintenance labourers
7622,Railway and motor transport labourers,"VC1 - Code Change, VC2 - Name Change",75211,railway and motor transport labourers
8211,"Supervisors, logging and forestry","VC1 - Code Change, VC2 - Name Change",82010,"supervisors, logging and forestry"
8221,"Supervisors, mining and quarrying","VC1 - Code Change, VC2 - Name Change",82020,"supervisors, mining and quarrying"
8222,"Contractors and supervisors, oil and gas drilling and services","VC1 - Code Change, VC2 - Name Change",82021,"contractors and supervisors, oil and gas drilling and services"
8231,Underground production and development miners,"VC1 - Code Change, VC2 - Name Change",83100,underground production and development miners
8232,"Oil and gas well drillers, servicers, testers and related workers","VC1 - Code Change, VC2 - Name Change",83101,"oil and gas well drillers, servicers, testers and related workers"
8241,Logging machinery operators,"VC1 - Code Change, VC2 - Name Change",83110,logging machinery operators
8255,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services","VC1 - Code Change, VC2 - Name Change",82031,"contractors and supervisors, landscaping, grounds maintenance and horticulture services"
8261,Fishing masters and officers,"VC1 - Code Change, VC2 - Name Change",83120,fishing masters and officers
8262,Fishermen/women,"VC1 - Code Change, VC2 - Name Change",83121,fishermen/women
8411,Underground mine service and support workers,"VC1 - Code Change, VC2 - Name Change",84100,underground mine service and support workers
8412,Oil and gas well drilling and related workers and services operators,"VC1 - Code Change, VC2 - Name Change",84101,oil and gas well drilling and related workers and services operators
8421,Chain saw and skidder operators,"VC1 - Code Change, VC2 - Name Change",84110,chain saw and skidder operators
8422,Silviculture and forestry workers,"VC1 - Code Change, VC2 - Name Change",84111,silviculture and forestry workers
8432,Nursery and greenhouse workers,"VC1 - Code Change, VC2 - Name Change",85103,nursery and greenhouse labourers
8441,Fishing vessel deckhands,"VC1 - Code Change, VC2 - Name Change",84121,fishing vessel deckhands
8442,Trappers and hunters,"VC1 - Code Change, VC2 - Name Change",85104,trappers and hunters
8611,Harvesting labourers,"VC1 - Code Change, VC2 - Name Change",85101,harvesting labourers
8612,Landscaping and grounds maintenance labourers,"VC1 - Code Change, VC2 - Name Change",85121,landscaping and grounds maintenance labourers
8613,Aquaculture and marine harvest labourers,"VC1 - Code Change, VC2 - Name Change",85102,aquaculture and marine harvest labourers
8614,Mine labourers,"VC1 - Code Change, VC2 - Name Change",85110,mine labourers
8615,"Oil and gas drilling, servicing and related labourers","VC1 - Code Change, VC2 - Name Change",85111,"oil and gas drilling, servicing and related labourers"
8616,Logging and forestry labourers,"VC1 - Code Change, VC2 - Name Change",85120,logging and forestry labourers
9211,"Supervisors, mineral and metal processing","VC1 - Code Change, VC2 - Name Change",92010,"supervisors, mineral and metal processing"
9212,"Supervisors, petroleum, gas and chemical processing and utilities","VC1 - Code Change, VC2 - Name Change",92011,"supervisors, petroleum, gas and chemical processing and utilities"
9213,"Supervisors, food and beverage processing","VC1 - Code Change, VC2 - Name Change",92012,"supervisors, food and beverage processing"
9214,"Supervisors, plastic and rubber products manufacturing","VC1 - Code Change, VC2 - Name Change",92013,"supervisors, plastic and rubber products manufacturing"
9215,"Supervisors, forest products processing","VC1 - Code Change, VC2 - Name Change",92014,"supervisors, forest products processing"
9217,"Supervisors, textile, fabric, fur and leather products processing and manufacturing","VC1 - Code Change, VC2 - Name Change",92015,"supervisors, textile, fabric, fur and leather products processing and manufacturing"
9221,"Supervisors, motor vehicle assembling","VC1 - Code Change, VC2 - Name Change",92020,"supervisors, motor vehicle assembling"
9222,"Supervisors, electronics manufacturing","RC3.1 - Merger, VC2 - Name Change",92021,"supervisors, electronics and electrical products manufacturing"
9223,"Supervisors, electrical products manufacturing","RC3.1 - Merger, VC2 - Name Change",92021,"supervisors, electronics and electrical products manufacturing"
9224,"Supervisors, furniture and fixtures manufacturing","VC1 - Code Change, VC2 - Name Change",92022,"supervisors, furniture and fixtures manufacturing"
9226,"Supervisors, other mechanical and metal products manufacturing","VC1 - Code Change, VC2 - Name Change",92023,"supervisors, other mechanical and metal products manufacturing"
9227,"Supervisors, other products manufacturing and assembly","VC1 - Code Change, VC2 - Name Change",92024,"supervisors, other products manufacturing and assembly"
9231,"Central control and process operators, mineral and metal processing","VC1 - Code Change, VC2 - Name Change",93100,"central control and process operators, mineral and metal processing"
9232,"Central control and process operators, petroleum, gas and chemical processing","VC1 - Code Change, VC2 - Name Change",93101,"central control and process operators, petroleum, gas and chemical processing"
9235,"Pulping, papermaking and coating control operators","VC1 - Code Change, VC2 - Name Change",93102,"pulping, papermaking and coating control operators"
9241,Power engineers and power systems operators,"VC1 - Code Change, VC2 - Name Change",92100,power engineers and power systems operators
9243,Water and waste treatment plant operators,"VC1 - Code Change, VC2 - Name Change",92101,water and waste treatment plant operators
9411,"Machine operators, mineral and metal processing","VC1 - Code Change, VC2 - Name Change",94100,"machine operators, mineral and metal processing"
9412,Foundry workers,"VC1 - Code Change, VC2 - Name Change",94101,foundry workers
9413,Glass forming and finishing machine operators and glass cutters,"VC1 - Code Change, VC2 - Name Change",94102,glass forming and finishing machine operators and glass cutters
9414,"Concrete, clay and stone forming operators","VC1 - Code Change, VC2 - Name Change",94103,"concrete, clay and stone forming operators"
9415,"Inspectors and testers, mineral and metal processing","VC1 - Code Change, VC2 - Name Change",94104,"inspectors and testers, mineral and metal processing"
9416,Metalworking and forging machine operators,"VC1 - Code Change, VC2 - Name Change",94105,metalworking and forging machine operators
9417,Machining tool operators,"VC1 - Code Change, VC2 - Name Change",94106,machining tool operators
9418,Other metal products machine operators,"VC1 - Code Change, VC2 - Name Change",94107,machine operators of other metal products
9422,Plastics processing machine operators,"VC1 - Code Change, VC2 - Name Change",94111,plastics processing machine operators
9423,Rubber processing machine operators and related workers,"VC1 - Code Change, VC2 - Name Change",94112,rubber processing machine operators and related workers
9431,Sawmill machine operators,"VC1 - Code Change, VC2 - Name Change",94120,sawmill machine operators
9432,Pulp mill machine operators,"RC3.1 - Merger, VC2 - Name Change",94121,"pulp mill, papermaking and finishing machine operators"
9433,Papermaking and finishing machine operators,"RC3.1 - Merger, VC2 - Name Change",94121,"pulp mill, papermaking and finishing machine operators"
9434,Other wood processing machine operators,"VC1 - Code Change, VC2 - Name Change",94129,other wood processing machine operators
9435,Paper converting machine operators,"VC1 - Code Change, VC2 - Name Change",94122,paper converting machine operators
9436,Lumber graders and other wood processing inspectors and graders,"VC1 - Code Change, VC2 - Name Change",94123,lumber graders and other wood processing inspectors and graders
9437,Woodworking machine operators,"VC1 - Code Change, VC2 - Name Change",94124,woodworking machine operators
9442,"Weavers, knitters and other fabric making occupations","VC1 - Code Change, VC2 - Name Change",94131,"weavers, knitters and other fabric making occupations"
9445,"Fabric, fur and leather cutters","RC3.1 - Merger, VC1 - Code Change, VC2 - Name Change",95105,labourers in textile processing and cutting
9446,Industrial sewing machine operators,"VC1 - Code Change, VC2 - Name Change",94132,industrial sewing machine operators
9447,"Inspectors and graders, textile, fabric, fur and leather products manufacturing","VC1 - Code Change, VC2 - Name Change",94133,"inspectors and graders, textile, fabric, fur and leather products manufacturing"
9461,"Process control and machine operators, food and beverage processing","VC1 - Code Change, VC2 - Name Change",94140,"process control and machine operators, food and beverage processing"
9462,"Industrial butchers and meat cutters, poultry preparers and related workers","VC1 - Code Change, VC2 - Name Change",94141,"industrial butchers and meat cutters, poultry preparers and related workers"
9463,Fish and seafood plant workers,"VC1 - Code Change, VC2 - Name Change",94142,fish and seafood plant workers
9465,"Testers and graders, food and beverage processing","VC1 - Code Change, VC2 - Name Change",94143,"testers and graders, food and beverage processing"
9471,Plateless printing equipment operators,"VC1 - Code Change, VC2 - Name Change",94150,plateless printing equipment operators
9472,"Camera, platemaking and other prepress occupations","VC1 - Code Change, VC2 - Name Change",94151,"camera, platemaking and other prepress occupations"
9473,Binding and finishing machine operators,"VC1 - Code Change, VC2 - Name Change",94152,binding and finishing machine operators
9474,Photographic and film processors,"VC1 - Code Change, VC2 - Name Change",94153,photographic and film processors
9521,Aircraft assemblers and aircraft assembly inspectors,"VC1 - Code Change, VC2 - Name Change",93200,aircraft assemblers and aircraft assembly inspectors
9522,"Motor vehicle assemblers, inspectors and testers","VC1 - Code Change, VC2 - Name Change",94200,"motor vehicle assemblers, inspectors and testers"
9523,"Electronics assemblers, fabricators, inspectors and testers","VC1 - Code Change, VC2 - Name Change",94201,"electronics assemblers, fabricators, inspectors and testers"
9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing","VC1 - Code Change, VC2 - Name Change",94202,"assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing"
9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers","VC1 - Code Change, VC2 - Name Change",94203,"assemblers, fabricators and inspectors, industrial electrical motors and transformers"
9526,Mechanical assemblers and inspectors,"VC1 - Code Change, VC2 - Name Change",94204,mechanical assemblers and inspectors
9527,"Machine operators and inspectors, electrical apparatus manufacturing","VC1 - Code Change, VC2 - Name Change",94205,"machine operators and inspectors, electrical apparatus manufacturing"
9531,Boat assemblers and inspectors,"RC3.2 - Take-over, VC1 - Code Change, VC2 - Name Change",94219,"other products assemblers, finishers and inspectors"
9532,Furniture and fixture assemblers and inspectors,"RC3.1 - Merger, VC1 - Code Change, VC2 - Name Change",94210,"furniture and fixture assemblers, finishers, refinishers and inspectors"
9533,Other wood products assemblers and inspectors,"VC1 - Code Change, VC2 - Name Change",94211,assemblers and inspectors of other wood products
9534,Furniture finishers and refinishers,"RC3.1 - Merger, VC1 - Code Change, VC2 - Name Change",94210,"furniture and fixture assemblers, finishers, refinishers and inspectors"
9535,"Plastic products assemblers, finishers and inspectors","VC1 - Code Change, VC2 - Name Change",94212,"plastic products assemblers, finishers and inspectors"
9536,"Industrial painters, coaters and metal finishing process operators","VC1 - Code Change, VC2 - Name Change",94213,"industrial painters, coaters and metal finishing process operators"
9537,"Other products assemblers, finishers and inspectors","RC3.2 - Take-over, VC1 - Code Change, VC2 - Name Change",94219,"other products assemblers, finishers and inspectors"
9611,Labourers in mineral and metal processing,"VC1 - Code Change, VC2 - Name Change",95100,labourers in mineral and metal processing
9612,Labourers in metal fabrication,"VC1 - Code Change, VC2 - Name Change",95101,labourers in metal fabrication
9613,Labourers in chemical products processing and utilities,"VC1 - Code Change, VC2 - Name Change",95102,labourers in chemical products processing and utilities
9614,"Labourers in wood, pulp and paper processing","VC1 - Code Change, VC2 - Name Change",95103,"labourers in wood, pulp and paper processing"
9615,Labourers in rubber and plastic products manufacturing,"VC1 - Code Change, VC2 - Name Change",95104,labourers in rubber and plastic products manufacturing
9617,Labourers in food and beverage processing,"VC1 - Code Change, VC2 - Name Change",95106,labourers in food and beverage processing
9619,"Other labourers in processing, manufacturing and utilities","VC1 - Code Change, VC2 - Name Change",95109,"other labourers in processing, manufacturing and utilities"
0112,Human resources managers,,10011,human resources managers
0431,Commissioned police officers,,40040,commissioned police officers and related occupations in public protection services
0433,Commissioned officers of the Canadian Armed Forces,,40042,commissioned officers of the canadian armed forces
1114,Other financial officers,,11109,other financial officers
1123,"Professional occupations in advertising, marketing and public relations",,11202,"professional occupations in advertising, marketing and public relations"
1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",,12013,"supervisors, supply chain, tracking and scheduling coordination occupations"
1227,Court officers and justices of the peace,,14103,court clerks and related court services occupations
1253,Records management technicians,,12112,records management technicians
1511,"Mail, postal and related workers",,74100,mail and parcel sorters and related occupations
1513,"Couriers, messengers and door-to-door distributors",,75201,delivery service drivers and door-to-door distributors
1525,Dispatchers,,14404,dispatchers
2171,Information systems analysts and consultants,,21211,data scientists
2172,Database analysts and data administrators,,21223,database analysts and data administrators
2173,Software engineers and designers,,21231,software engineers and designers
3124,Allied primary health practitioners,,31302,nurse practitioners
3125,Other professional occupations in health diagnosing and treating,,31209,other professional occupations in health diagnosing and treating
3142,Physiotherapists,,31202,physiotherapists
3144,Other professional occupations in therapy and assessment,,31204,kinesiologists and other professional occupations in therapy and assessment
3212,Medical laboratory technicians and pathologists' assistants,,33101,medical laboratory assistants and related technical occupations
3219,Other medical technologists and technicians (except dental health),,32129,other medical technologists and technicians
3223,"Dental technologists, technicians and laboratory assistants",,32112,dental technologists and technicians
3232,Practitioners of natural healing,,32209,other practitioners of natural healing
3237,Other technical occupations in therapy and assessment,,32109,other technical occupations in therapy and assessment
3414,Other assisting occupations in support of health services,,33109,other assisting occupations in support of health services
4151,Psychologists,,31200,psychologists
4153,"Family, marriage and other related counsellors",,41301,therapists in counselling and related specialized therapies
4155,Probation and parole officers and related occupations,,41311,probation and parole officers
4163,Business development officers and marketing researchers and consultants,,41402,business development officers and market researchers and analysts
4165,"Health policy researchers, consultants and program officers",,41404,"health policy researchers, consultants and program officers"
4311,Police officers (except commissioned),,42100,police officers (except commissioned)
4313,Non-commissioned ranks of the Canadian Armed Forces,,42100,police officers (except commissioned)
4412,"Home support workers, housekeepers and related occupations",,44101,"home support workers, caregivers and related occupations"
4413,Elementary and secondary school teacher assistants,,43100,elementary and secondary school teacher assistants
5121,Authors and writers,,51111,authors and writers (except technical)
5232,"Other performers, n.e.c.",,55109,other performers
5243,"Theatre, fashion, exhibit and other creative designers",,53123,"theatre, fashion, exhibit and other creative designers"
6221,Technical sales specialists - wholesale trade,,62100,technical sales specialists - wholesale trade
6316,Other services supervisors,,62029,other services supervisors
6411,Sales and account representatives - wholesale trade (non-technical),,64101,sales and account representatives - wholesale trade (non-technical)
6541,Security guards and related security service occupations,,64410,security guards and related security service occupations
7371,Crane operators,,72500,crane operators
7384,"Other trades and related occupations, n.e.c.",,72999,other technical trades and related occupations
7445,Other repairers and servicers,,73209,other repairers and servicers
7514,Delivery and courier service drivers,,75201,delivery service drivers and door-to-door distributors
7522,Public works maintenance equipment operators and related workers,,74205,public works maintenance equipment operators and related workers
8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",,82030,agricultural service contractors and farm supervisors
8431,General farm workers,,84120,specialized livestock workers and farm machinery operators
9421,Chemical plant machine operators,,94110,chemical plant machine operators
9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers",,94130,"textile fibre and yarn, hide and pelt processing machine operators and workers"
9616,Labourers in textile processing,,95105,labourers in textile processing and cutting
9618,Labourers in fish and seafood processing,,95107,labourers in fish and seafood processing
